simulacion,n,hostname,procesador,ram_gb,python_version,algoritmo,tiempo,memoria_kb,nodos,solucion_encontrada
70,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.100000321865082e-05,0.1484375,9,True
71,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.650000482797623e-05,1.3203125,16,True
71,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,4.2400002712383866e-05,0.1484375,9,True
72,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,0.00026369999977760017,1.3203125,16,True
72,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,0.00012620000052265823,0.1484375,9,True
73,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,0.00012080000306013972,1.3203125,16,True
73,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,6.609999400097877e-05,0.1484375,9,True
74,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,8.949999755714089e-05,1.3203125,16,True
74,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,5.8599995099939406e-05,0.1484375,9,True
75,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,8.730000990908593e-05,1.3203125,16,True
75,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,5.750000127591193e-05,0.1484375,9,True
76,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,8.530000923201442e-05,1.3203125,16,True
76,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,5.729999975301325e-05,0.1484375,9,True
77,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,8.689999231137335e-05,1.3203125,16,True
77,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,5.7600002037361264e-05,0.1484375,9,True
78,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,8.919999527279288e-05,1.3203125,16,True
78,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,5.779998900834471e-05,0.1484375,9,True
79,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,0.00014820000797044486,1.3203125,16,True
79,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,5.4799995268695056e-05,0.1484375,9,True
80,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.6899993321858346e-05,1.3203125,16,True
80,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.0799987143836915e-05,0.1484375,9,True
81,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,BFS,4.84000047435984e-05,1.3203125,16,True
81,4,DESKTOP-PCTS8TB,AMD Ryzen 7 7445HS w/ Radeon 740M Graphics,15.26,3.14.7,DFS,3.190001007169485e-05,0.1484375,9,True
