simulacion,objetos,algoritmo,pesos,valores,capacidad,tiempo,memoria_kb,nodos,valor_optimo
51,10,BFS,"[6, 12, 9, 4, 11, 11, 15, 10, 5, 9]","[13, 10, 5, 14, 13, 24, 6, 19, 13, 27]",36,0.0012015000102110207,22.1171875,775,91
51,10,DFS,"[6, 12, 9, 4, 11, 11, 15, 10, 5, 9]","[13, 10, 5, 14, 13, 24, 6, 19, 13, 27]",36,0.0008781999931670725,0.2890625,775,91
52,10,BFS,"[1, 5, 7, 10, 11, 8, 8, 4, 8, 15]","[10, 7, 26, 20, 11, 15, 22, 17, 26, 26]",30,0.0011298999888822436,22.5546875,897,101
52,10,DFS,"[1, 5, 7, 10, 11, 8, 8, 4, 8, 15]","[10, 7, 26, 20, 11, 15, 22, 17, 26, 26]",30,0.0009154999861493707,0.3203125,897,101
53,10,BFS,"[12, 11, 5, 11, 10, 2, 13, 11, 4, 4]","[6, 3, 17, 21, 11, 27, 8, 10, 26, 5]",33,0.0009525000350549817,24.140625,744,102
53,10,DFS,"[12, 11, 5, 11, 10, 2, 13, 11, 4, 4]","[6, 3, 17, 21, 11, 27, 8, 10, 26, 5]",33,0.0007872000569477677,0.328125,744,102
54,10,BFS,"[1, 4, 10, 13, 8, 15, 10, 12, 7, 7]","[2, 16, 28, 3, 14, 21, 7, 23, 16, 8]",34,0.0009988999809138477,22.6171875,773,85
54,10,DFS,"[1, 4, 10, 13, 8, 15, 10, 12, 7, 7]","[2, 16, 28, 3, 14, 21, 7, 23, 16, 8]",34,0.0008604000322520733,0.296875,773,85
55,10,BFS,"[3, 12, 15, 14, 15, 13, 4, 13, 9, 1]","[21, 1, 25, 25, 4, 14, 6, 23, 15, 18]",39,0.0008342000073753297,21.5625,669,95
55,10,DFS,"[3, 12, 15, 14, 15, 13, 4, 13, 9, 1]","[21, 1, 25, 25, 4, 14, 6, 23, 15, 18]",39,0.0007025999948382378,0.3203125,669,95
56,10,BFS,"[4, 14, 8, 13, 11, 9, 6, 15, 10, 12]","[30, 4, 5, 15, 17, 20, 25, 15, 27, 29]",40,0.0009884000173769891,21.6328125,816,119
56,10,DFS,"[4, 14, 8, 13, 11, 9, 6, 15, 10, 12]","[30, 4, 5, 15, 17, 20, 25, 15, 27, 29]",40,0.0008342000073753297,0.3203125,816,119
57,10,BFS,"[9, 14, 9, 15, 12, 8, 5, 4, 11, 13]","[14, 30, 15, 6, 28, 15, 25, 27, 9, 25]",40,0.0011089000036008656,23.234375,840,112
57,10,DFS,"[9, 14, 9, 15, 12, 8, 5, 4, 11, 13]","[14, 30, 15, 6, 28, 15, 25, 27, 9, 25]",40,0.000889900024048984,0.328125,840,112
